Id,SalePrice
1461,117584.91528640962
1462,148374.23776128824
1463,190052.22463139636
1464,198542.71807009593
1465,193805.20705793164
1466,172681.73237990157
1467,175658.8177223776
1468,161148.50051825115
1469,182500.15570082003
1470,121109.5456334157
1471,193156.1406276102
1472,93214.17267858698
1473,94170.62797978692
1474,141559.98183566274
1475,99708.31576786259
1476,378898.39466357464
1477,243615.15958456896
1478,275996.7884376615
1479,287000.12113656534
1480,490452.6015183866
1481,315325.8385926622
1482,205072.4038275637
1483,183941.71039130187
1484,157701.28877401768
1485,181592.70361223962
1486,194271.52409296524
1487,331389.6807322181
1488,227447.79303506218
1489,191808.51997770468
1490,250681.51699020684
1491,197509.66489965975
1492,91124.2309810768
1493,175024.24338770713
1494,295539.1835996427
1495,285865.8585992597
1496,232546.20381399672
1497,181498.5940324024
1498,170017.16724006852
1499,159829.49600591778
1500,158769.831862071
1501,180908.49888278532
1502,140571.32952164655
1503,274253.70201484504
1504,231750.8772581754
1505,224461.54810981316
1506,189121.45645260805
1507,256265.31273023743
1508,204618.7709507473
1509,154350.1415868567
1510,143190.2362779498
1511,161431.66040778975
1512,184468.3935765712
1513,144849.77800275845
1514,157444.91488447427
1515,215883.20997402628
1516,155533.1434172138
1517,164267.34441768995
1518,131813.36891786978
1519,206952.4898334715
1520,124547.69806786721
1521,132324.92210066036
1522,180873.2154452786
1523,113004.50721833289
1524,129576.17361095815
1525,119758.97572885043
1526,110026.86387385601
1527,108618.74100413328
1528,134005.58354705872
1529,147138.01491329633
1530,177011.023762677
1531,112719.05706118183
1532,97230.91463916894
1533,154365.4394696914
1534,128096.82325424021
1535,156086.10983480408
1536,107967.0817760468
1537,66746.41075435371
1538,139243.73876089268
1539,182903.22430831054
1540,94659.1186880536
1541,137061.879763363
1542,144187.76095493187
1543,181182.65864659866
1544,92548.05008045983
1545,112812.40162496391
1546,131668.54736413187
1547,137824.07582371173
1548,137898.7241319941
1549,119908.88393047877
1550,134144.02255309385
1551,107404.44425516848
1552,135488.40929990233
1553,142856.00433062494
1554,112096.51348444333
1555,168298.8349476164
1556,85682.31597838929
1557,113497.73339007763
1558,95613.25705387787
1559,59226.29999005884
1560,135842.87389834906
1561,134965.29007416076
1562,126979.64848354967
1563,116488.64977115678
1564,166380.34425492384
1565,151106.42029422888
1566,234232.43084710438
1567,79751.3286962923
1568,237193.79195979767
1569,144502.52697480225
1570,127859.03949842253
1571,122182.21531395963
1572,143024.44940351136
1573,237321.95341515736
1574,120743.47017065407
1575,222070.86623582753
1576,272341.2448887353
1577,179828.9319993611
1578,142319.6840790735
1579,149130.41968487884
1580,189647.63117901742
1581,157001.2296539722
1582,122344.37592335977
1583,288913.7827977117
1584,220704.66983977094
1585,138483.06925080152
1586,62871.63310827766
1587,101297.56944500357
1588,151410.3493881564
1589,103394.21704565355
1590,129982.64572447803
1591,93584.14972588487
1592,124405.63753870694
1593,117829.20515291246
1594,137234.533246252
1595,102873.20447645517
1596,220446.3601551861
1597,192356.6069853153
1598,217866.40939448745
1599,154754.47137694596
1600,152948.40776510345
1601,75983.99395634061
1602,113403.01962867529
1603,70885.26636103296
1604,254661.3158037359
1605,234083.02310654905
1606,169217.04944607557
1607,176635.53508951818
1608,216514.92547047723
1609,179642.87421639514
1610,154195.4343319856
1611,141660.4054421925
1612,181080.32800213594
1613,172948.36183002905
1614,123169.84218293267
1615,93229.86344997707
1616,77780.532030399
1617,95015.21090700541
1618,122972.29130656658
1619,138413.29710071406
1620,155650.2896235877
1621,143414.6322733202
1622,138825.32248712372
1623,244924.2688400448
1624,224101.95274774756
1625,112306.06238797355
1626,170718.94170712447
1627,194361.4515956578
1628,263658.30814233964
1629,167074.3976467125
1630,359068.46172014705
1631,220336.08292693496
1632,242663.81532952175
1633,160638.23989835323
1634,189265.75479890185
1635,177603.77893587665
1636,151561.77438308747
1637,217775.05818261183
1638,175783.0609761909
1639,188187.48709356942
1640,250844.9129287714
1641,178130.9438627619
1642,248304.1189157335
1643,209953.79903529535
1644,226853.38313561745
1645,217565.83482347205
1646,153790.74962733276
1647,146876.01542776712
1648,130251.10916504479
1649,140753.13960797287
1650,114451.46962281298
1651,125459.38299767
1652,94515.42467024214
1653,97082.63299108083
